
香港,#genre#
ELEVEN体育-1,https://us.dispatch.ulivetv.net/v/live/cg1mg0pkbi68.m3u8?stream_id=cg1mg0pkbi68&timestamp=1699439578&rand=DzCVC8NlBu&uuid=gKUVqcBgnC2u2dwHVBn8rt&from=web&sign=ce75ba25bde34c06a9fdb907554e5b9c
ELEVEN体育-2,https://us.dispatch.ulivetv.net/v/live/cg1mlp24a2tc.m3u8?stream_id=cg1mlp24a2tc&timestamp=1699439580&rand=OxYxBA9NlR&uuid=qaKmKu5aAUva7qiQmzYdXY&from=web&sign=85d02f9b0e15c8a845ea7ef527ead0a5
Eurosports-1,https://us.dispatch.ulivetv.net/v/live/cl7cnsau00jk.m3u8?stream_id=cl7cnsau00jk&timestamp=1699439591&rand=oBDuB8NGR2&uuid=8RK3uSfzLY2W9TycfNeC81&from=web&sign=388a8f9af9975d2770a603a539aae065
博斯无限,https://us.dispatch.ulivetv.net/v/live/clecumtydz28.m3u8?stream_id=clecumtydz28&timestamp=1699439600&rand=14cJgF6WEc&uuid=wEDYysh7C31ZRr1vxH44nb&from=web&sign=b7b37596ae3a060af9c35e950eeb641e
博斯网球,https://us.dispatch.ulivetv.net/v/live/cg1nb00eplts.m3u8?stream_id=cg1nb00eplts&timestamp=1699439603&rand=x748JuqooS&uuid=cATktcwEorKCXRormVG1xv&from=web&sign=51fbdb8d5ac04f088a26ef439dc292be
博斯运动-1,https://us.dispatch.ulivetv.net/v/live/cg1mq9e7sl34.m3u8?stream_id=cg1mq9e7sl34&timestamp=1699439605&rand=GPn9eEyphK&uuid=8jw4YcdVduNMwxEa7oZiu9&from=web&sign=1e551ac7c4f0d7a17b22c978eda907ab
博斯高球-1,https://us.dispatch.ulivetv.net/v/live/cg1n0b4bgbeo.m3u8?stream_id=cg1n0b4bgbeo&timestamp=1699439609&rand=KORaNqSBM9&uuid=dSm1MW6CRi1c1PFhx2HGPF&from=web&sign=de2b7a2192700d3865a5992f33cd9584
儿童,#genre#
迪士尼频道,https://us.dispatch.ulivetv.net/v/live/cl7ccczgethc.m3u8?stream_id=cl7ccczgethc&timestamp=1699439622&rand=Mo9mUDU6Ih&uuid=13e2zzA2R8pa3UjU4iMJdj&from=web&sign=3d477dc9a0116f27e0a30ead3d7a9c8e
东森幼幼台,https://us.dispatch.ulivetv.net/v/live/ciw8f5pwdghs.m3u8?stream_id=ciw8f5pwdghs&timestamp=1699439624&rand=tjZSLgMWhO&uuid=5qXvokfJ26udjaP3edCEqV&from=web&sign=372556fedc542dbe8d0ae5916f74f606
MOMO亲子台,https://us.dispatch.ulivetv.net/v/live/cl7cd4sc85a8.m3u8?stream_id=cl7cd4sc85a8&timestamp=1699439628&rand=CcNTXd7nE5&uuid=2sL3Y6QadMASmnXSEtNJox&from=web&sign=36929aafaf1ebee9744991e21a0ce125
